EMP-1,Nguyen Van A,31,28/02/1989,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Dai hoc,Quan ly,15000000
EMP-2,Nguyen Van B,24,21/06/1996,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Dai hoc,Nhan vien,9000000
EMP-3,Nguyen Thi C,25,01/03/1995,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Dai hoc,Nhan vien,9000000
EMP-4,Nguyen Thi D,27,12/12/1993,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Dai hoc,Tiep tan,10000000
EMP-5,Nguyen Van E,26,06/09/1994,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Dai hoc,Tiep tan,10000000
EMP-6,Nguyen Van F,33,22/04/1987,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Trung hoc,Lao cong,6000000
EMP-7,Nguyen Van G,32,19/05/1988,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Cao dang,Bao ve,7000000
EMP-8,Nguyen Thi H,35,18/01/1985,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Cao hoc,Lao cong,6000000
EMP-9,Nguyen Van I,23,04/10/1997,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Dai hoc,Nhan vien,9000000
EMP-10,Nguyen Van A,29,08/08/1991,123456789,0905113114,193 Nguyen Luong Bang,abc@abc.com,Dai hoc,Thu quy,11000000
